date,name,value,value_norm
1931-01-01,Camargos,178,0.2656826568265683
1931-02-01,Camargos,371,0.621771217712177
1931-03-01,Camargos,326,0.5387453874538745
1931-04-01,Camargos,479,0.8210332103321033
1931-05-01,Camargos,332,0.5498154981549815
1931-06-01,Camargos,226,0.3542435424354244
1931-07-01,Camargos,125,0.16789667896678967
1931-08-01,Camargos,89,0.1014760147601476
1931-09-01,Camargos,112,0.14391143911439114
1931-10-01,Camargos,192,0.2915129151291513
1931-11-01,Camargos,153,0.21955719557195574
1931-12-01,Camargos,215,0.33394833948339486
1932-01-01,Camargos,449,0.7656826568265682
1932-02-01,Camargos,344,0.5719557195571955
1932-03-01,Camargos,214,0.33210332103321033
1932-04-01,Camargos,72,0.07011070110701108
1932-05-01,Camargos,68,0.06273062730627306
1932-06-01,Camargos,98,0.11808118081180811
1932-07-01,Camargos,81,0.08671586715867159
1932-08-01,Camargos,71,0.06826568265682657
1932-09-01,Camargos,73,0.07195571955719558
1932-10-01,Camargos,92,0.10701107011070111
1932-11-01,Camargos,102,0.12546125461254615
1932-12-01,Camargos,240,0.3800738007380074
1933-01-01,Camargos,287,0.4667896678966789
1933-02-01,Camargos,161,0.23431734317343172
1933-03-01,Camargos,147,0.20848708487084872
1933-04-01,Camargos,108,0.13653136531365312
1933-05-01,Camargos,84,0.09225092250922508
1933-06-01,Camargos,72,0.07011070110701108
1933-07-01,Camargos,69,0.06457564575645756
1933-08-01,Camargos,64,0.055350553505535055
1933-09-01,Camargos,63,0.05350553505535055
1933-10-01,Camargos,67,0.060885608856088555
1933-11-01,Camargos,72,0.07011070110701108
1933-12-01,Camargos,141,0.1974169741697417
1934-01-01,Camargos,196,0.2988929889298893
1934-02-01,Camargos,96,0.1143911439114391
1934-03-01,Camargos,112,0.14391143911439114
1934-04-01,Camargos,79,0.08302583025830258
1934-05-01,Camargos,60,0.04797047970479705
1934-06-01,Camargos,49,0.027675276752767528
1934-07-01,Camargos,44,0.01845018450184502
1934-08-01,Camargos,38,0.0073800738007380046
1934-09-01,Camargos,40,0.011070110701107014
1934-10-01,Camargos,48,0.025830258302583023
1934-11-01,Camargos,57,0.04243542435424354
1934-12-01,Camargos,216,0.33579335793357934
1935-01-01,Camargos,242,0.3837638376383764
1935-02-01,Camargos,381,0.6402214022140221
1935-03-01,Camargos,184,0.2767527675276753
1935-04-01,Camargos,169,0.24907749077490776
1935-05-01,Camargos,121,0.16051660516605165
1935-06-01,Camargos,98,0.11808118081180811
1935-07-01,Camargos,73,0.07195571955719558
1935-08-01,Camargos,73,0.07195571955719558
1935-09-01,Camargos,69,0.06457564575645756
1935-10-01,Camargos,86,0.09594095940959409
1935-11-01,Camargos,86,0.09594095940959409
1935-12-01,Camargos,92,0.10701107011070111
1936-01-01,Camargos,84,0.09225092250922508
1936-02-01,Camargos,108,0.13653136531365312
1936-03-01,Camargos,229,0.35977859778597787
1936-04-01,Camargos,128,0.17343173431734316
1936-05-01,Camargos,90,0.1033210332103321
1936-06-01,Camargos,67,0.060885608856088555
1936-07-01,Camargos,57,0.04243542435424354
1936-08-01,Camargos,58,0.04428044280442804
1936-09-01,Camargos,65,0.05719557195571956
1936-10-01,Camargos,60,0.04797047970479705
1936-11-01,Camargos,87,0.09778597785977859
1936-12-01,Camargos,200,0.3062730627306273
1937-01-01,Camargos,349,0.581180811808118
1937-02-01,Camargos,231,0.3634686346863469
1937-03-01,Camargos,170,0.25092250922509224
1937-04-01,Camargos,121,0.16051660516605165
1937-05-01,Camargos,128,0.17343173431734316
1937-06-01,Camargos,95,0.1125461254612546
1937-07-01,Camargos,74,0.07380073800738006
1937-08-01,Camargos,62,0.051660516605166046
1937-09-01,Camargos,57,0.04243542435424354
1937-10-01,Camargos,136,0.1881918819188192
1937-11-01,Camargos,158,0.22878228782287824
1937-12-01,Camargos,378,0.6346863468634686
1938-01-01,Camargos,265,0.4261992619926199
1938-02-01,Camargos,298,0.4870848708487085
1938-03-01,Camargos,227,0.35608856088560886
1938-04-01,Camargos,154,0.22140221402214022
1938-05-01,Camargos,133,0.18265682656826565
1938-06-01,Camargos,105,0.13099630996309963
1938-07-01,Camargos,88,0.0996309963099631
1938-08-01,Camargos,85,0.09409594095940958
1938-09-01,Camargos,97,0.11623616236162361
1938-10-01,Camargos,125,0.16789667896678967
1938-11-01,Camargos,135,0.18634686346863466
1938-12-01,Camargos,256,0.4095940959409594
1939-01-01,Camargos,260,0.41697416974169743
1939-02-01,Camargos,261,0.4188191881918819
1939-03-01,Camargos,149,0.21217712177121772
1939-04-01,Camargos,150,0.2140221402214022
1939-05-01,Camargos,107,0.13468634686346864
1939-06-01,Camargos,87,0.09778597785977859
1939-07-01,Camargos,79,0.08302583025830258
1939-08-01,Camargos,67,0.060885608856088555
1939-09-01,Camargos,63,0.05350553505535055
1939-10-01,Camargos,72,0.07011070110701108
1939-11-01,Camargos,124,0.16605166051660514
1939-12-01,Camargos,219,0.3413284132841328
1940-01-01,Camargos,270,0.4354243542435424
1940-02-01,Camargos,315,0.518450184501845
1940-03-01,Camargos,255,0.40774907749077494
1940-04-01,Camargos,149,0.21217712177121772
1940-05-01,Camargos,113,0.14575645756457567
1940-06-01,Camargos,94,0.1107011070110701
1940-07-01,Camargos,77,0.07933579335793357
1940-08-01,Camargos,65,0.05719557195571956
1940-09-01,Camargos,64,0.055350553505535055
1940-10-01,Camargos,80,0.08487084870848709
1940-11-01,Camargos,177,0.2638376383763838
1940-12-01,Camargos,213,0.33025830258302585
1941-01-01,Camargos,233,0.3671586715867159
1941-02-01,Camargos,148,0.2103321033210332
1941-03-01,Camargos,146,0.20664206642066424
1941-04-01,Camargos,119,0.15682656826568264
1941-05-01,Camargos,82,0.0885608856088561
1941-06-01,Camargos,73,0.07195571955719558
1941-07-01,Camargos,75,0.07564575645756456
1941-08-01,Camargos,58,0.04428044280442804
1941-09-01,Camargos,89,0.1014760147601476
1941-10-01,Camargos,94,0.1107011070110701
1941-11-01,Camargos,100,0.12177121771217712
1941-12-01,Camargos,197,0.3007380073800738
1942-01-01,Camargos,164,0.23985239852398527
1942-02-01,Camargos,193,0.2933579335793358
1942-03-01,Camargos,267,0.42988929889298894
1942-04-01,Camargos,139,0.19372693726937268
1942-05-01,Camargos,113,0.14575645756457567
1942-06-01,Camargos,92,0.10701107011070111
1942-07-01,Camargos,82,0.0885608856088561
1942-08-01,Camargos,66,0.059040590405904064
1942-09-01,Camargos,63,0.05350553505535055
1942-10-01,Camargos,90,0.1033210332103321
1942-11-01,Camargos,113,0.14575645756457567
1942-12-01,Camargos,166,0.24354243542435428
1943-01-01,Camargos,474,0.8118081180811807
1943-02-01,Camargos,309,0.5073800738007379
1943-03-01,Camargos,282,0.4575645756457564
1943-04-01,Camargos,135,0.18634686346863466
1943-05-01,Camargos,96,0.1143911439114391
1943-06-01,Camargos,110,0.14022140221402213
1943-07-01,Camargos,84,0.09225092250922508
1943-08-01,Camargos,79,0.08302583025830258
1943-09-01,Camargos,74,0.07380073800738006
1943-10-01,Camargos,102,0.12546125461254615
1943-11-01,Camargos,102,0.12546125461254615
1943-12-01,Camargos,185,0.2785977859778598
1944-01-01,Camargos,160,0.23247232472324725
1944-02-01,Camargos,252,0.4022140221402214
1944-03-01,Camargos,255,0.40774907749077494
1944-04-01,Camargos,128,0.17343173431734316
1944-05-01,Camargos,96,0.1143911439114391
1944-06-01,Camargos,88,0.0996309963099631
1944-07-01,Camargos,77,0.07933579335793357
1944-08-01,Camargos,66,0.059040590405904064
1944-09-01,Camargos,62,0.051660516605166046
1944-10-01,Camargos,63,0.05350553505535055
1944-11-01,Camargos,91,0.10516605166051661
1944-12-01,Camargos,110,0.14022140221402213
1945-01-01,Camargos,147,0.20848708487084872
1945-02-01,Camargos,283,0.459409594095941
1945-03-01,Camargos,158,0.22878228782287824
1945-04-01,Camargos,127,0.17158671586715868
1945-05-01,Camargos,92,0.10701107011070111
1945-06-01,Camargos,86,0.09594095940959409
1945-07-01,Camargos,71,0.06826568265682657
1945-08-01,Camargos,58,0.04428044280442804
1945-09-01,Camargos,54,0.03690036900369004
1945-10-01,Camargos,56,0.040590405904059046
1945-11-01,Camargos,104,0.1291512915129151
1945-12-01,Camargos,204,0.31365313653136534
1946-01-01,Camargos,458,0.7822878228782287
1946-02-01,Camargos,162,0.23616236162361626
1946-03-01,Camargos,178,0.2656826568265683
1946-04-01,Camargos,168,0.24723247232472323
1946-05-01,Camargos,105,0.13099630996309963
1946-06-01,Camargos,91,0.10516605166051661
1946-07-01,Camargos,81,0.08671586715867159
1946-08-01,Camargos,66,0.059040590405904064
1946-09-01,Camargos,57,0.04243542435424354
1946-10-01,Camargos,87,0.09778597785977859
1946-11-01,Camargos,116,0.15129151291512916
1946-12-01,Camargos,113,0.14575645756457567
1947-01-01,Camargos,227,0.35608856088560886
1947-02-01,Camargos,254,0.4059040590405904
1947-03-01,Camargos,576,1.0
1947-04-01,Camargos,233,0.3671586715867159
1947-05-01,Camargos,144,0.20295202952029523
1947-06-01,Camargos,120,0.15867158671586717
1947-07-01,Camargos,110,0.14022140221402213
1947-08-01,Camargos,100,0.12177121771217712
1947-09-01,Camargos,108,0.13653136531365312
1947-10-01,Camargos,107,0.13468634686346864
1947-11-01,Camargos,116,0.15129151291512916
1947-12-01,Camargos,223,0.34870848708487084
1948-01-01,Camargos,222,0.34686346863468637
1948-02-01,Camargos,221,0.34501845018450183
1948-03-01,Camargos,279,0.452029520295203
1948-04-01,Camargos,165,0.24169741697416974
1948-05-01,Camargos,119,0.15682656826568264
1948-06-01,Camargos,103,0.12730627306273062
1948-07-01,Camargos,87,0.09778597785977859
1948-08-01,Camargos,75,0.07564575645756456
1948-09-01,Camargos,67,0.060885608856088555
1948-10-01,Camargos,72,0.07011070110701108
1948-11-01,Camargos,116,0.15129151291512916
1948-12-01,Camargos,200,0.3062730627306273
1949-01-01,Camargos,246,0.3911439114391144
1949-02-01,Camargos,288,0.4686346863468635
1949-03-01,Camargos,189,0.2859778597785978
1949-04-01,Camargos,128,0.17343173431734316
1949-05-01,Camargos,98,0.11808118081180811
1949-06-01,Camargos,84,0.09225092250922508
1949-07-01,Camargos,75,0.07564575645756456
1949-08-01,Camargos,66,0.059040590405904064
1949-09-01,Camargos,56,0.040590405904059046
1949-10-01,Camargos,72,0.07011070110701108
1949-11-01,Camargos,80,0.08487084870848709
1949-12-01,Camargos,165,0.24169741697416974
1950-01-01,Camargos,284,0.4612546125461255
1950-02-01,Camargos,354,0.5904059040590406
1950-03-01,Camargos,223,0.34870848708487084
1950-04-01,Camargos,163,0.23800738007380073
1950-05-01,Camargos,121,0.16051660516605165
1950-06-01,Camargos,95,0.1125461254612546
1950-07-01,Camargos,83,0.0904059040590406
1950-08-01,Camargos,67,0.060885608856088555
1950-09-01,Camargos,63,0.05350553505535055
1950-10-01,Camargos,74,0.07380073800738006
1950-11-01,Camargos,195,0.2970479704797048
1950-12-01,Camargos,195,0.2970479704797048
1951-01-01,Camargos,219,0.3413284132841328
1951-02-01,Camargos,233,0.3671586715867159
1951-03-01,Camargos,238,0.3763837638376384
1951-04-01,Camargos,160,0.23247232472324725
1951-05-01,Camargos,109,0.13837638376383765
1951-06-01,Camargos,91,0.10516605166051661
1951-07-01,Camargos,80,0.08487084870848709
1951-08-01,Camargos,70,0.06642066420664207
1951-09-01,Camargos,59,0.046125461254612546
1951-10-01,Camargos,68,0.06273062730627306
1951-11-01,Camargos,77,0.07933579335793357
1951-12-01,Camargos,139,0.19372693726937268
1952-01-01,Camargos,250,0.3985239852398524
1952-02-01,Camargos,264,0.42435424354243545
1952-03-01,Camargos,302,0.4944649446494465
1952-04-01,Camargos,154,0.22140221402214022
1952-05-01,Camargos,108,0.13653136531365312
1952-06-01,Camargos,102,0.12546125461254615
1952-07-01,Camargos,79,0.08302583025830258
1952-08-01,Camargos,68,0.06273062730627306
1952-09-01,Camargos,81,0.08671586715867159
1952-10-01,Camargos,68,0.06273062730627306
1952-11-01,Camargos,124,0.16605166051660514
1952-12-01,Camargos,187,0.2822878228782288
1953-01-01,Camargos,96,0.1143911439114391
1953-02-01,Camargos,126,0.16974169741697415
1953-03-01,Camargos,129,0.1752767527675277
1953-04-01,Camargos,140,0.1955719557195572
1953-05-01,Camargos,92,0.10701107011070111
1953-06-01,Camargos,72,0.07011070110701108
1953-07-01,Camargos,60,0.04797047970479705
1953-08-01,Camargos,52,0.03321033210332103
1953-09-01,Camargos,53,0.03505535055350553
1953-10-01,Camargos,55,0.03874538745387454
1953-11-01,Camargos,92,0.10701107011070111
1953-12-01,Camargos,154,0.22140221402214022
1954-01-01,Camargos,130,0.17712177121771217
1954-02-01,Camargos,165,0.24169741697416974
1954-03-01,Camargos,114,0.14760147601476015
1954-04-01,Camargos,83,0.0904059040590406
1954-05-01,Camargos,86,0.09594095940959409
1954-06-01,Camargos,97,0.11623616236162361
1954-07-01,Camargos,51,0.03136531365313654
1954-08-01,Camargos,42,0.014760147601476009
1954-09-01,Camargos,39,0.00922509225092251
1954-10-01,Camargos,54,0.03690036900369004
1954-11-01,Camargos,93,0.10885608856088562
1954-12-01,Camargos,115,0.14944649446494462
1955-01-01,Camargos,241,0.38191881918819187
1955-02-01,Camargos,127,0.17158671586715868
1955-03-01,Camargos,108,0.13653136531365312
1955-04-01,Camargos,92,0.10701107011070111
1955-05-01,Camargos,68,0.06273062730627306
1955-06-01,Camargos,61,0.049815498154981555
1955-07-01,Camargos,52,0.03321033210332103
1955-08-01,Camargos,54,0.03690036900369004
1955-09-01,Camargos,54,0.03690036900369004
1955-10-01,Camargos,65,0.05719557195571956
1955-11-01,Camargos,98,0.11808118081180811
1955-12-01,Camargos,226,0.3542435424354244
1956-01-01,Camargos,149,0.21217712177121772
1956-02-01,Camargos,130,0.17712177121771217
1956-03-01,Camargos,208,0.3210332103321033
1956-04-01,Camargos,100,0.12177121771217712
1956-05-01,Camargos,88,0.0996309963099631
1956-06-01,Camargos,79,0.08302583025830258
1956-07-01,Camargos,70,0.06642066420664207
1956-08-01,Camargos,61,0.049815498154981555
1956-09-01,Camargos,58,0.04428044280442804
1956-10-01,Camargos,69,0.06457564575645756
1956-11-01,Camargos,69,0.06457564575645756
1956-12-01,Camargos,177,0.2638376383763838
1957-01-01,Camargos,220,0.34317343173431736
1957-02-01,Camargos,203,0.3118081180811808
1957-03-01,Camargos,275,0.444649446494465
1957-04-01,Camargos,217,0.3376383763837638
1957-05-01,Camargos,137,0.19003690036900373
1957-06-01,Camargos,82,0.0885608856088561
1957-07-01,Camargos,82,0.0885608856088561
1957-08-01,Camargos,69,0.06457564575645756
1957-09-01,Camargos,106,0.1328413284132841
1957-10-01,Camargos,81,0.08671586715867159
1957-11-01,Camargos,150,0.2140221402214022
1957-12-01,Camargos,155,0.22324723247232475
1958-01-01,Camargos,235,0.3708487084870849
1958-02-01,Camargos,262,0.42066420664206644
1958-03-01,Camargos,153,0.21955719557195574
1958-04-01,Camargos,115,0.14944649446494462
1958-05-01,Camargos,115,0.14944649446494462
1958-06-01,Camargos,100,0.12177121771217712
1958-07-01,Camargos,93,0.10885608856088562
1958-08-01,Camargos,76,0.07749077490774907
1958-09-01,Camargos,115,0.14944649446494462
1958-10-01,Camargos,158,0.22878228782287824
1958-11-01,Camargos,171,0.25276752767527677
1958-12-01,Camargos,205,0.3154981549815498
1959-01-01,Camargos,223,0.34870848708487084
1959-02-01,Camargos,140,0.1955719557195572
1959-03-01,Camargos,147,0.20848708487084872
1959-04-01,Camargos,130,0.17712177121771217
1959-05-01,Camargos,80,0.08487084870848709
1959-06-01,Camargos,74,0.07380073800738006
1959-07-01,Camargos,72,0.07011070110701108
1959-08-01,Camargos,80,0.08487084870848709
1959-09-01,Camargos,89,0.1014760147601476
1959-10-01,Camargos,67,0.060885608856088555
1959-11-01,Camargos,129,0.1752767527675277
1959-12-01,Camargos,134,0.18450184501845018
1960-01-01,Camargos,213,0.33025830258302585
1960-02-01,Camargos,201,0.3081180811808118
1960-03-01,Camargos,257,0.4114391143911439
1960-04-01,Camargos,156,0.22509225092250923
1960-05-01,Camargos,132,0.18081180811808117
1960-06-01,Camargos,104,0.1291512915129151
1960-07-01,Camargos,84,0.09225092250922508
1960-08-01,Camargos,72,0.07011070110701108
1960-09-01,Camargos,65,0.05719557195571956
1960-10-01,Camargos,71,0.06826568265682657
1960-11-01,Camargos,96,0.1143911439114391
1960-12-01,Camargos,204,0.31365313653136534
1961-01-01,Camargos,401,0.6771217712177121
1961-02-01,Camargos,401,0.6771217712177121
1961-03-01,Camargos,376,0.6309963099630995
1961-04-01,Camargos,208,0.3210332103321033
1961-05-01,Camargos,168,0.24723247232472323
1961-06-01,Camargos,124,0.16605166051660514
1961-07-01,Camargos,100,0.12177121771217712
1961-08-01,Camargos,84,0.09225092250922508
1961-09-01,Camargos,71,0.06826568265682657
1961-10-01,Camargos,66,0.059040590405904064
1961-11-01,Camargos,94,0.1107011070110701
1961-12-01,Camargos,118,0.15498154981549817
1962-01-01,Camargos,170,0.25092250922509224
1962-02-01,Camargos,389,0.654981549815498
1962-03-01,Camargos,197,0.3007380073800738
1962-04-01,Camargos,135,0.18634686346863466
1962-05-01,Camargos,109,0.13837638376383765
1962-06-01,Camargos,85,0.09409594095940958
1962-07-01,Camargos,69,0.06457564575645756
1962-08-01,Camargos,63,0.05350553505535055
1962-09-01,Camargos,71,0.06826568265682657
1962-10-01,Camargos,92,0.10701107011070111
1962-11-01,Camargos,123,0.16420664206642066
1962-12-01,Camargos,242,0.3837638376383764
1963-01-01,Camargos,270,0.4354243542435424
1963-02-01,Camargos,189,0.2859778597785978
1963-03-01,Camargos,154,0.22140221402214022
1963-04-01,Camargos,94,0.1107011070110701
1963-05-01,Camargos,81,0.08671586715867159
1963-06-01,Camargos,71,0.06826568265682657
1963-07-01,Camargos,64,0.055350553505535055
1963-08-01,Camargos,58,0.04428044280442804
1963-09-01,Camargos,48,0.025830258302583023
1963-10-01,Camargos,52,0.03321033210332103
1963-11-01,Camargos,72,0.07011070110701108
1963-12-01,Camargos,55,0.03874538745387454
1964-01-01,Camargos,187,0.2822878228782288
1964-02-01,Camargos,289,0.470479704797048
1964-03-01,Camargos,137,0.19003690036900373
1964-04-01,Camargos,85,0.09409594095940958
1964-05-01,Camargos,73,0.07195571955719558
1964-06-01,Camargos,56,0.040590405904059046
1964-07-01,Camargos,59,0.046125461254612546
1964-08-01,Camargos,44,0.01845018450184502
1964-09-01,Camargos,36,0.0036900369003690092
1964-10-01,Camargos,72,0.07011070110701108
1964-11-01,Camargos,79,0.08302583025830258
1964-12-01,Camargos,153,0.21955719557195574
1965-01-01,Camargos,336,0.5571955719557194
1965-02-01,Camargos,470,0.8044280442804428
1965-03-01,Camargos,314,0.5166051660516605
1965-04-01,Camargos,150,0.2140221402214022
1965-05-01,Camargos,160,0.23247232472324725
1965-06-01,Camargos,100,0.12177121771217712
1965-07-01,Camargos,91,0.10516605166051661
1965-08-01,Camargos,78,0.08118081180811808
1965-09-01,Camargos,65,0.05719557195571956
1965-10-01,Camargos,87,0.09778597785977859
1965-11-01,Camargos,120,0.15867158671586717
1965-12-01,Camargos,210,0.3247232472324723
1966-01-01,Camargos,434,0.7380073800738006
1966-02-01,Camargos,278,0.4501845018450184
1966-03-01,Camargos,314,0.5166051660516605
1966-04-01,Camargos,172,0.25461254612546125
1966-05-01,Camargos,122,0.16236162361623618
1966-06-01,Camargos,94,0.1107011070110701
1966-07-01,Camargos,78,0.08118081180811808
1966-08-01,Camargos,67,0.060885608856088555
1966-09-01,Camargos,57,0.04243542435424354
1966-10-01,Camargos,90,0.1033210332103321
1966-11-01,Camargos,129,0.1752767527675277
1966-12-01,Camargos,238,0.3763837638376384
1967-01-01,Camargos,367,0.614391143911439
1967-02-01,Camargos,375,0.629151291512915
1967-03-01,Camargos,261,0.4188191881918819
1967-04-01,Camargos,162,0.23616236162361626
1967-05-01,Camargos,108,0.13653136531365312
1967-06-01,Camargos,112,0.14391143911439114
1967-07-01,Camargos,98,0.11808118081180811
1967-08-01,Camargos,69,0.06457564575645756
1967-09-01,Camargos,73,0.07195571955719558
1967-10-01,Camargos,81,0.08671586715867159
1967-11-01,Camargos,149,0.21217712177121772
1967-12-01,Camargos,141,0.1974169741697417
1968-01-01,Camargos,178,0.2656826568265683
1968-02-01,Camargos,121,0.16051660516605165
1968-03-01,Camargos,115,0.14944649446494462
1968-04-01,Camargos,76,0.07749077490774907
1968-05-01,Camargos,64,0.055350553505535055
1968-06-01,Camargos,55,0.03874538745387454
1968-07-01,Camargos,49,0.027675276752767528
1968-08-01,Camargos,49,0.027675276752767528
1968-09-01,Camargos,52,0.03321033210332103
1968-10-01,Camargos,60,0.04797047970479705
1968-11-01,Camargos,48,0.025830258302583023
1968-12-01,Camargos,190,0.2878228782287823
1969-01-01,Camargos,229,0.35977859778597787
1969-02-01,Camargos,238,0.3763837638376384
1969-03-01,Camargos,181,0.27121771217712176
1969-04-01,Camargos,106,0.1328413284132841
1969-05-01,Camargos,93,0.10885608856088562
1969-06-01,Camargos,76,0.07749077490774907
1969-07-01,Camargos,61,0.049815498154981555
1969-08-01,Camargos,59,0.046125461254612546
1969-09-01,Camargos,47,0.02398523985239852
1969-10-01,Camargos,70,0.06642066420664207
1969-11-01,Camargos,144,0.20295202952029523
1969-12-01,Camargos,155,0.22324723247232475
1970-01-01,Camargos,159,0.23062730627306272
1970-02-01,Camargos,144,0.20295202952029523
1970-03-01,Camargos,137,0.19003690036900373
1970-04-01,Camargos,93,0.10885608856088562
1970-05-01,Camargos,66,0.059040590405904064
1970-06-01,Camargos,61,0.049815498154981555
1970-07-01,Camargos,56,0.040590405904059046
1970-08-01,Camargos,57,0.04243542435424354
1970-09-01,Camargos,71,0.06826568265682657
1970-10-01,Camargos,73,0.07195571955719558
1970-11-01,Camargos,96,0.1143911439114391
1970-12-01,Camargos,68,0.06273062730627306
1971-01-01,Camargos,102,0.12546125461254615
1971-02-01,Camargos,53,0.03505535055350553
1971-03-01,Camargos,75,0.07564575645756456
1971-04-01,Camargos,58,0.04428044280442804
1971-05-01,Camargos,42,0.014760147601476009
1971-06-01,Camargos,56,0.040590405904059046
1971-07-01,Camargos,40,0.011070110701107014
1971-08-01,Camargos,34,0.0
1971-09-01,Camargos,42,0.014760147601476009
1971-10-01,Camargos,69,0.06457564575645756
1971-11-01,Camargos,101,0.12361623616236163
1971-12-01,Camargos,225,0.35239852398523985
1972-01-01,Camargos,147,0.20848708487084872
1972-02-01,Camargos,218,0.33948339483394835
1972-03-01,Camargos,232,0.36531365313653136
1972-04-01,Camargos,123,0.16420664206642066
1972-05-01,Camargos,81,0.08671586715867159
1972-06-01,Camargos,68,0.06273062730627306
1972-07-01,Camargos,77,0.07933579335793357
1972-08-01,Camargos,65,0.05719557195571956
1972-09-01,Camargos,52,0.03321033210332103
1972-10-01,Camargos,105,0.13099630996309963
1972-11-01,Camargos,167,0.24538745387453875
1972-12-01,Camargos,162,0.23616236162361626
1973-01-01,Camargos,237,0.37453874538745385
1973-02-01,Camargos,218,0.33948339483394835
1973-03-01,Camargos,163,0.23800738007380073
1973-04-01,Camargos,141,0.1974169741697417
1973-05-01,Camargos,102,0.12546125461254615
1973-06-01,Camargos,70,0.06642066420664207
1973-07-01,Camargos,70,0.06642066420664207
1973-08-01,Camargos,52,0.03321033210332103
1973-09-01,Camargos,52,0.03321033210332103
1973-10-01,Camargos,87,0.09778597785977859
1973-11-01,Camargos,131,0.1789667896678967
1973-12-01,Camargos,182,0.2730627306273063
1974-01-01,Camargos,214,0.33210332103321033
1974-02-01,Camargos,156,0.22509225092250923
1974-03-01,Camargos,205,0.3154981549815498
1974-04-01,Camargos,166,0.24354243542435428
1974-05-01,Camargos,96,0.1143911439114391
1974-06-01,Camargos,98,0.11808118081180811
1974-07-01,Camargos,74,0.07380073800738006
1974-08-01,Camargos,61,0.049815498154981555
1974-09-01,Camargos,46,0.022140221402214028
1974-10-01,Camargos,65,0.05719557195571956
1974-11-01,Camargos,57,0.04243542435424354
1974-12-01,Camargos,136,0.1881918819188192
1975-01-01,Camargos,158,0.22878228782287824
1975-02-01,Camargos,164,0.23985239852398527
1975-03-01,Camargos,114,0.14760147601476015
1975-04-01,Camargos,83,0.0904059040590406
