sample,tipo,MSE,MAE,MAPE,R2
0,Treino,1592.9975903533555,25.732593405445243,0.2002432565722063,0.7719711060575123
0,Teste,2735.473135848833,33.434621513728054,0.23812876263555088,0.6038742574998164
1,Treino,2155.8464770352284,29.937889078063584,0.2256979093471523,0.6914023658007499
1,Teste,2561.7492813974604,32.06451939231095,0.23449015278775612,0.6290313281113651
2,Treino,1438.0523129626044,23.273018759754027,0.17326539810978717,0.7941506752163003
2,Teste,2262.437712305912,30.04321177091139,0.20647359821231065,0.67237484188654
3,Treino,1575.1736657872982,25.642488001430397,0.1971367875509733,0.774522503391146
3,Teste,2772.828231812846,33.18221386568621,0.24043904783331668,0.5984648404117855
4,Treino,1504.455055382528,25.108280729397503,0.19213329931829373,0.7846454857543349
4,Teste,2370.4837498754287,32.23028440972169,0.23821443035121537,0.6567286210205667
5,Treino,1438.9743405272402,24.773242862558455,0.1921214923953702,0.7940186920124201
5,Teste,2579.2918161644757,34.04772705156356,0.2553808618317197,0.6264909816101143
6,Treino,1493.4202173800436,24.990310477746537,0.1911212617482773,0.7862250624717001
6,Teste,2534.4147783609596,31.48684600860191,0.22887566263604686,0.6329896562591748
7,Treino,1470.8620446035752,24.172125244224574,0.18508066954986052,0.7894541415479845
7,Teste,2656.3904129213856,33.76360705352078,0.23897209900666455,0.6153262808913202
8,Treino,1768.9494766068788,26.893494509519055,0.2040269613050508,0.746784555712144
8,Teste,2706.909147036199,31.83355254555742,0.23415976116355702,0.6080106283268178
9,Treino,1384.227967149283,23.688950720107613,0.18273329744007835,0.8018553359874866
9,Teste,2917.0011414535284,34.4984088152647,0.25498241146036316,0.5775870624027883
10,Treino,1773.8061382873245,26.77401176889038,0.20272061080802475,0.746089351150661
10,Teste,2551.5454596371687,32.67113325347503,0.23421391794145402,0.6305089505446342
11,Treino,1553.2481773334123,25.21139814323164,0.1914369108951368,0.7776610171664113
11,Teste,2354.8570794048737,31.090239364126077,0.21205681236172602,0.6589915298979494
12,Treino,1580.743313195621,24.899489690872137,0.18480179085120885,0.7737252388215946
12,Teste,2732.7772602496675,31.824931073747575,0.22643914532747905,0.6042646490958488
13,Treino,1516.9869885566181,25.431790934543304,0.19645732938285837,0.78285160804984
13,Teste,2630.598418776823,33.424870444027086,0.24089430235247608,0.6190612372676713
14,Treino,1375.639893833683,24.367116144521624,0.1906381863624316,0.803084671719764
14,Teste,2554.63760204804,33.025422212854025,0.2399071172649584,0.6300611752795912
15,Treino,1369.5376031467795,23.72572298923796,0.17978671388396195,0.8039581812619483
15,Teste,2495.3029269608182,32.67610625997186,0.2290229774882117,0.6386534703077927
16,Treino,1514.3612580158033,24.938441559921582,0.19023497302758352,0.7832274670182646
16,Teste,2686.4741511303446,32.371526308637115,0.23136509300936592,0.6109698341110426
17,Treino,1711.9733820915071,25.90892770937141,0.19232859344324924,0.7549403720750683
17,Teste,2506.0086978982054,31.598954091593622,0.23069973074269676,0.637103160269638
18,Treino,1681.9778070390435,25.75883591158027,0.19224607265266547,0.7592340746166175
18,Teste,2627.2529727128954,32.00824616458267,0.23335233818987902,0.6195456936085872
19,Treino,1823.2502437418302,27.497514223658037,0.20625345743119516,0.7390116978340193
19,Teste,2312.8632452041347,31.219141543858374,0.22032730802202002,0.6650726858541878
20,Treino,1581.1901645149753,25.157472977368815,0.18956781971086348,0.773661274498782
20,Teste,2376.821993040248,30.38169976095669,0.21311744859127035,0.6558107756771389
21,Treino,1302.0138137232525,23.113308737874295,0.17627813092132397,0.8136238424721682
21,Teste,2385.8780239546263,32.92851691323643,0.24032009554724046,0.6544993656241391
22,Treino,1632.9679883664498,25.63227626103733,0.19182990577579062,0.7662495621552738
22,Teste,2353.724202335588,29.913084286202988,0.2096549439997374,0.6591555826039881
23,Treino,1554.6039544616294,25.66496019490815,0.20203166522320593,0.7774669450844118
23,Teste,2361.435514046563,31.710308115556835,0.2364863742844272,0.6580389022618824
24,Treino,1501.3570558666077,24.596199344065337,0.1860898502776479,0.7850889474439995
24,Teste,2651.6408155966888,32.568603009327006,0.23651623920354145,0.6160140733401533
25,Treino,1526.8104687742698,24.65081931135569,0.18535873732981803,0.7814454305752087
25,Teste,2535.366581283348,31.655214657013616,0.22456995541198416,0.6328518250246422
26,Treino,1632.4512647079825,25.6017404751275,0.19650595277228833,0.766323528321342
26,Teste,2396.873449573312,32.09677926913525,0.23841988504092285,0.6529071104927592
27,Treino,1372.0840292779612,23.419440865946253,0.1747231832496387,0.8035936742860961
27,Teste,2671.3068448806434,32.869922195832864,0.22006817824795458,0.6131662221402843
28,Treino,1511.6337694444135,24.701283367202034,0.1884164854951789,0.7836178920923144
28,Teste,2511.573122426388,31.468891964045664,0.22461896138260334,0.63629737213415
29,Treino,1499.2201499568741,24.509655901654995,0.18419754061339955,0.7853948338395638
29,Teste,2411.5850833723816,31.20450812894851,0.22214731080041628,0.6507767087038785
30,Treino,1486.8269433735481,24.074960758560884,0.1789665535329559,0.7871688535912005
30,Teste,2434.6741342877153,31.246773969242348,0.22012058229025452,0.6474331673919208
31,Treino,1376.364386564896,23.180651821082396,0.17476486028514884,0.8029809645470927
31,Teste,3183.0514046161725,35.74445184882109,0.2507093410415705,0.5390601411705793
32,Treino,1537.543540673835,25.701501441395845,0.20123346899078917,0.7799090500253045
32,Teste,2388.698662979315,32.915086713371174,0.24609091193041646,0.6540909069508161
