sample,tipo,MSE,MAE,MAPE,R2
0.0,Treino,2678.449655824868,32.87408971993931,0.2485805284004912,0.6264405023279939
0.0,Validation,1714.4816079182553,29.469838796786533,0.2910402064648964,0.5281660916479367
0.0,Teste,3011.7777127894688,35.793407787026275,0.2841639689689249,0.5638624020505962
1.0,Treino,2696.488076256648,33.837726485170734,0.260777586798738,0.6239247099327034
1.0,Validation,1247.7471830840989,25.92892194924306,0.26832040689736114,0.6566137383388497
1.0,Teste,3127.006611193314,37.02868895487638,0.301046866690542,0.5471760261767065
2.0,Treino,2896.6385780409587,35.012072653902244,0.2710870306514966,0.5960100090747846
2.0,Validation,1547.4547325303645,29.749504059395065,0.31218085354419056,0.5741327226401423
2.0,Teste,3563.7680046477312,38.133309539543426,0.3142275394300182,0.4839283089865104
3.0,Treino,3004.0800044086077,36.32658941979078,0.2892414295719607,0.5810253088114143
3.0,Validation,1734.792952654102,31.8350186844196,0.33013837733164125,0.522576308050178
3.0,Teste,3169.9942038903787,37.909530763734196,0.31289528390673155,0.5409509633704742
4.0,Treino,2537.0245819319584,32.209101841034965,0.2441212674037408,0.6461648527359882
4.0,Validation,1640.1017228972437,27.389935363120973,0.25587718750300775,0.5486358077942964
4.0,Teste,2974.856937591265,36.6943143322205,0.30050070722671635,0.5692089248504015
5.0,Treino,2736.8445187099724,33.191227557415495,0.25109065871340447,0.6182962553011564
5.0,Validation,1402.3201903389245,26.896553511319095,0.2657692077328541,0.6140744741076445
5.0,Teste,2951.6496357127953,35.82380342396727,0.2887827430013709,0.5725695901655015
6.0,Treino,2699.676351604352,32.91949281945067,0.2486071814866937,0.6234800457835237
6.0,Validation,1463.5066041370735,26.60598327428461,0.25851858291600316,0.5972356671895106
6.0,Teste,3053.673014294459,36.36296838409781,0.2895923174926571,0.5577955146816646
7.0,Treino,4566.29591226539,47.38144455704019,0.39008226194425516,0.36314531673276007
7.0,Validation,2087.9581171555837,33.576425718620136,0.3628831550330297,0.42538348947986737
7.0,Teste,5551.833861192413,52.62373876115949,0.46784585786821437,0.19603512764161224
8.0,Treino,2546.7799444519783,32.59171971122714,0.2502666424392917,0.6448042864417285
8.0,Validation,1496.7917449053002,27.44696696127556,0.2701824651200285,0.5880754300739954
8.0,Teste,3045.299513172272,37.31220026654232,0.29745351428869704,0.5590080871269513
9.0,Treino,2818.576729425119,34.73083152662662,0.2691613757787215,0.6068971821425573
9.0,Validation,1803.5861379054004,31.962710507331117,0.32914873619629237,0.5036440796056164
9.0,Teste,3034.0070208850607,36.379234318311056,0.2885448199862753,0.5606433606865145
10.0,Treino,2306.7703459249815,30.454426128196367,0.22834926934600297,0.6782780778446114
10.0,Validation,1421.3284883939086,25.424219299285912,0.24440847171875477,0.6088432954697505
10.0,Teste,3120.5252199870383,36.73339767308047,0.28822119603389507,0.5481146008862781
11.0,Treino,2795.5208704617276,34.082891136312575,0.2605790156878505,0.6101127494294132
11.0,Validation,1415.8214818716535,27.264920663429532,0.2769276034988675,0.6103588511915006
11.0,Teste,2841.6152845035444,35.47705999501467,0.28253541585979497,0.5885037400944735
12.0,Treino,2740.2976733552982,33.424301513832454,0.25381305895585055,0.6178146488196286
12.0,Validation,1524.1450330791595,27.79653211525588,0.28060872515293495,0.5805476684428729
12.0,Teste,2892.0508450606676,34.80600688921637,0.2757486246601975,0.5812001319499527
13.0,Treino,2607.0118932424343,32.67466250160095,0.24987203583831108,0.63640382370201
13.0,Validation,1602.1254131194426,28.32697542594959,0.2864356428952007,0.5590870780701004
13.0,Teste,3051.896658870183,35.90978454633799,0.2848542792347845,0.5580527499299892
14.0,Treino,2498.6785998391665,31.910711766287378,0.2440891739497856,0.65151291137027
14.0,Validation,1600.0927151583585,27.190861371383992,0.265835599521798,0.5596464867094513
14.0,Teste,3774.9502187858734,40.55666695497052,0.3556278411390166,0.45334686759635556
15.0,Treino,2690.1104595701017,33.1401016986878,0.25058876086446735,0.6248141869033047
15.0,Validation,1339.450894495159,25.323787916863274,0.2477796557105863,0.6313764185766343
15.0,Teste,2961.6565616544995,34.54610805973525,0.2706316859805239,0.5711204803508764
16.0,Treino,2515.655916464122,31.872786614445467,0.24110225830690918,0.649145109587457
16.0,Validation,1393.130184423613,25.30532209107988,0.251171797117942,0.6166036096718721
16.0,Teste,2768.956351504206,33.65484877167359,0.25764224439641814,0.5990255300570362
17.0,Treino,2617.962926834034,32.81403990316451,0.2518590117588433,0.6348764988935818
17.0,Validation,1506.469132006101,27.869279139262968,0.2815453647046437,0.5854121647713416
17.0,Teste,3279.028078760457,37.29271002197048,0.2996579573199379,0.5251616931069301
18.0,Treino,2521.740516330186,31.760227753347515,0.23924676797605948,0.6482964992488012
18.0,Validation,1308.321067779216,25.56729649951938,0.25970195922139927,0.6399435024916029
18.0,Teste,2872.460574776408,34.66154876064207,0.2692970382584602,0.5840370124370731
19.0,Treino,2492.1031916391235,31.456300373549187,0.23634139163663873,0.6524299740370461
19.0,Validation,1748.3199393960272,28.83587906396912,0.27948067086711625,0.5188536136840256
19.0,Teste,3098.163107333551,35.02799133379854,0.267607050877389,0.551352873769549
20.0,Treino,2609.939890593284,33.00345869641358,0.25204474384015785,0.6359954601484186
20.0,Validation,1378.3421002773655,24.14098555501041,0.21941410635598818,0.6206733643473015
20.0,Teste,2674.6892905546615,34.39321960495809,0.2787114774519221,0.6126764078604334
21.0,Treino,2814.206577882193,35.08943472728125,0.27612766945908973,0.6075066808544616
21.0,Validation,1758.0181691467028,30.720805392398294,0.3004645098076598,0.5161846123799441
21.0,Teste,3208.617356229392,38.13599214790766,0.3208253887499268,0.5353579181683535
22.0,Treino,2532.3136104269884,31.83669934886739,0.23948871884027959,0.6468218851148185
22.0,Validation,1452.984547234149,26.08124022660624,0.25567021152799907,0.600131389843799
22.0,Teste,2975.453486142452,34.870177247508906,0.27369839201271706,0.5691225382452182
23.0,Treino,2530.975938117294,32.68613464329973,0.2514843826073529,0.6470084483361852
23.0,Validation,1364.888022976988,26.26224795869893,0.265077021373663,0.6243759936707013
23.0,Teste,2787.3979945251704,36.41673642620142,0.29208153291928735,0.5963549830723602
24.0,Treino,2509.4153613612093,32.35348522842963,0.2479946708526946,0.6500154707773225
24.0,Validation,1409.4140319326234,26.17346512568005,0.24934374444106575,0.6121222134424225
24.0,Teste,3362.0571775475664,36.97176434759463,0.2914523277437771,0.5131381923182964
25.0,Treino,2520.827761365203,32.364619411727475,0.24787204673733268,0.6484237998629736
25.0,Validation,1574.6731583313745,27.412173550464004,0.2647930605066966,0.5666420758081387
25.0,Teste,3105.528859899996,36.69561675103598,0.28865953134079825,0.5502862340843634
26.0,Treino,2638.475749518151,32.3563985631546,0.24426234628567495,0.632015605196719
26.0,Validation,1439.2390125036416,25.976272999119423,0.25483630994823875,0.6039142297088234
26.0,Teste,3529.9275729157944,38.24921646561621,0.3186532679641156,0.4888287651345401
27.0,Treino,2620.6158709094743,32.87654260500659,0.2537968814260652,0.6345064966222984
27.0,Validation,1442.265358881658,26.810403545794223,0.270227206900962,0.6030813640583715
27.0,Teste,3159.798126665134,38.906907149102146,0.33519541131941044,0.542427464312307
28.0,Treino,2582.668540898528,33.11184022693558,0.254144164993648,0.6397989558275909
28.0,Validation,1877.247608246594,31.78284451272847,0.3214261876839642,0.48337207477014543
28.0,Teste,3133.305410750513,37.253332267183325,0.3023650785294449,0.5462638926891733
29.0,Treino,2665.7023050387397,33.01342757926594,0.2511612620052554,0.6282183568961988
29.0,Validation,1512.9300101695808,27.6245601431688,0.2675498498336534,0.5836340988059898
29.0,Teste,3471.490316990727,38.91456030298923,0.3156326320177039,0.49729110427785883
30.0,Treino,2549.115987097346,32.05756935119862,0.24245576151664788,0.644478481954328
30.0,Validation,1271.0685295881797,23.44740776235461,0.21510827385476958,0.6501955872089498
30.0,Teste,2966.76833212204,36.75352805819266,0.2963638762347051,0.5703802413606234
31.0,Treino,2519.7948453742465,31.6566589752936,0.23717566421291317,0.6485678591615609
31.0,Validation,1498.271213759409,26.641643490563418,0.26029032159874704,0.5876682728502052
31.0,Teste,2965.2687476305523,35.08405857257856,0.2750695946659612,0.5705973972201883
32.0,Treino,3073.5610854215547,36.53746832876962,0.287820313027136,0.5713348829844965
32.0,Validation,1771.9631570097113,30.78087307263008,0.3130605851509203,0.512346882015887
32.0,Teste,3164.288842380505,38.16415466533318,0.31983630723029177,0.5417771606870234
33.0,Treino,2609.607488906961,32.37315834280941,0.2449416445902189,0.6360418197306112
33.0,Validation,1454.4273487787764,25.886793202682732,0.2556199594864927,0.59973432364686
33.0,Teste,2896.519927812592,35.04474334581485,0.27513781056153824,0.5805529610089551
34.0,Treino,2515.53742512917,32.27727471404889,0.2470412384771814,0.649161635402481
34.0,Validation,1541.5256338690212,27.664964678949197,0.26424690458410843,0.5757644402284012
34.0,Teste,3132.548742737718,36.67459692685545,0.29529804647656566,0.5463734663035023
35.0,Treino,3082.4893680365535,35.83916918461335,0.2792726336510608,0.5700896683277717
35.0,Validation,1464.263906189267,28.708350554714237,0.30564308429790404,0.5970272538793653
35.0,Teste,3284.708954949961,37.53859189286095,0.3030730403012681,0.5243390415264308
36.0,Treino,2596.9631268237504,32.14593971634515,0.24015344739235484,0.6378053106134489
36.0,Validation,1461.5256387252894,26.317687876494553,0.25894789738928164,0.5977808387727084
36.0,Teste,2724.995225910309,33.58883897084925,0.26403695617445894,0.6053915708303164
