sample,tipo,MSE,MAE,MAPE,R2
0,Treino,72125.47845312505,176.78664894488983,0.2020175872384925,0.8082733246164795
0,Teste,143442.74294642918,238.99130896827361,0.2718558071673521,0.616721611514536
1,Treino,77168.81431479227,179.75935952560846,0.1988588334655434,0.7948669384359238
1,Teste,126299.31558411331,216.53801371957718,0.23365572948020918,0.6625287752481517
2,Treino,77298.35198043885,180.4169069518425,0.20327696803562864,0.7945225965125977
2,Teste,143258.13983796883,245.63055032943376,0.28012885791498265,0.6172148702215763
3,Treino,76690.72495125626,181.88903902621803,0.2052978637429526,0.7961378136685444
3,Teste,139781.7656247417,243.38697863509879,0.27403294517734383,0.6265037270772748
4,Treino,75067.28646792656,177.47901680682975,0.19778173043226704,0.8004532992607926
4,Teste,128373.80413970482,225.07583341455708,0.25955927484243024,0.656985750803788
5,Treino,69127.45060061978,174.56681932753472,0.1989761888799168,0.816242795671588
5,Teste,132067.52138038786,235.49347569652988,0.24857130259403276,0.6471161543191564
6,Treino,80955.98460773502,183.23728165402133,0.20372583165360583,0.7847997390918107
6,Teste,127999.94172843303,213.38566524469448,0.2313994884805484,0.6579847095490279
7,Treino,80441.45922629214,185.5221215647151,0.21383775904590666,0.7861674699256324
7,Teste,136240.34659651548,230.6221024689779,0.2632181435233917,0.635966383397206
8,Treino,87170.90575383436,193.94525087960588,0.2211886725601398,0.7682790005862523
8,Teste,145621.16321600837,240.16545054999492,0.26548842139800233,0.6109008819801027
9,Treino,67859.29876926693,173.37795457743687,0.20287392608113056,0.8196138448447983
9,Teste,147963.25276457018,244.72648047530092,0.26891146429963725,0.6046428288404144
10,Treino,78562.15157686513,181.64639757920116,0.20350268764811927,0.7911631166149174
10,Teste,133657.28230384225,228.76140280165708,0.2676319503897435,0.6428683200104781
11,Treino,81430.97343292311,180.46364438183443,0.19645678821303916,0.7835371058275222
11,Teste,127306.97934027978,226.18142245336202,0.2509678395627112,0.6598363020517702
12,Treino,85687.6666625031,191.37940009138896,0.21725453989198437,0.772221802850845
12,Teste,142209.9600364495,232.81561354735553,0.2618895721623623,0.6200156021158303
13,Treino,64279.073401449794,165.4192679489792,0.18741183378418316,0.8291309353600651
13,Teste,143298.4003105411,224.2516540933711,0.2455782751736447,0.6171072944130678
14,Treino,77033.77997237108,179.02586153021713,0.19614683379366027,0.7952258918333954
14,Teste,112854.03942129873,211.40681394560573,0.24327709645886297,0.6984544949783591
15,Treino,77043.18884802924,180.96940139781012,0.2041942095508069,0.7952008808041763
15,Teste,143384.77637727297,240.27246497580782,0.27655418145420596,0.6168764979365038
16,Treino,70437.6050812981,173.12355371780515,0.19523381397136155,0.8127600934669499
16,Teste,126207.41865316288,225.18182579534283,0.24281836011578423,0.6627743234500192
17,Treino,78912.26109327743,183.6252971643346,0.20539402369887977,0.7902324422534921
17,Teste,129188.8143320304,229.43642971093456,0.25240629601573406,0.65480804709639
18,Treino,79128.66163300803,180.35899077804908,0.20217228414944302,0.78965719815219
18,Teste,143041.38689916636,233.90169038290622,0.25535731824240915,0.6177940331361808
19,Treino,76992.60837663698,180.72231263975164,0.20343916745720508,0.7953353357267272
19,Teste,132721.10306545816,227.7428710290386,0.26258655326425634,0.645369786884654
20,Treino,75020.23268563852,177.4438587453942,0.1983337780886083,0.8005783794049495
20,Teste,127538.07802769178,234.2048914257437,0.26990073985940316,0.6592188073589543
21,Treino,77446.56437051423,182.7585865048049,0.20738562299804966,0.7941286127303167
21,Teste,134094.35108504916,234.21238039834424,0.2660114117182545,0.6417004741182614
22,Treino,90082.33790535938,195.8173043589488,0.21839827606552334,0.760539721499468
22,Teste,123492.902442791,222.25914258972432,0.24408663773408093,0.6700274990185983
23,Treino,81018.62078949745,186.8712478278253,0.2078295285551902,0.7846332372238773
23,Teste,122735.0032807532,214.77137987616007,0.23648094647496296,0.6720526023001829
