sample,tipo,MSE,MAE,MAPE,R2
0.0,Treino,2344.8515255583657,30.42997734553751,0.22368743253942877,0.6729669508261632
0.0,Validation,1299.1546641169364,26.203417777322414,0.2822082772728077,0.6424661425978199
0.0,Teste,2468.994416001423,31.59345876907167,0.24034757584163527,0.6424632238386498
1.0,Treino,2616.075779319893,32.57721930459002,0.24576271406436398,0.6351396966265996
1.0,Validation,1460.8454165475623,28.789100262295094,0.3218206048122836,0.597968039316116
1.0,Teste,2572.6228140987464,31.7619882786983,0.2456903005523493,0.6274567243770242
2.0,Treino,2473.5963539641853,31.039476892079048,0.23026311540156114,0.6550110959074209
2.0,Validation,1454.9578716185858,28.074046647540996,0.3107660552260752,0.5995883211095208
2.0,Teste,2526.656384947031,31.584451621887933,0.24284808715171896,0.6341131545350032
3.0,Treino,2758.7320610319116,33.21612626167628,0.25059657105348215,0.615243631445682
3.0,Validation,1539.5653947547708,30.151571240437175,0.3473068379810285,0.5763039078309171
3.0,Teste,2606.299384863982,32.102270546467054,0.2490935521362136,0.622579997048061
4.0,Treino,3448.8665044779145,39.33593958517198,0.3194103099041727,0.5189915792709536
4.0,Validation,2157.0899693481315,38.55243974180328,0.48565929753593706,0.40635805820024395
4.0,Teste,3018.7567164352104,36.87148856070708,0.31131700582789923,0.5628517677420919
5.0,Treino,2598.5716687608865,31.801544300100936,0.2370510434416249,0.6375809695971024
5.0,Validation,1445.5346713137924,28.390079293715864,0.31643974276553377,0.6021816329353582
5.0,Teste,2395.7186621711908,30.40797199353476,0.23083089571499923,0.6530743360491356
6.0,Treino,2827.3820431003614,35.766459686357436,0.2836147333684309,0.6056691177859191
6.0,Validation,1784.1128116361604,33.36770722131149,0.39174378958271105,0.5090032363325216
6.0,Teste,2896.644793752747,36.1947845686983,0.2989599143393364,0.5805348790864502
7.0,Treino,2407.248076617031,30.836010281203546,0.2240786599604594,0.6642645941403653
7.0,Validation,1334.0535518856036,25.763573084699463,0.2737499496552932,0.6328617942414534
7.0,Teste,2530.1627095640015,31.76336179907588,0.23321929652317472,0.6336054012603898
8.0,Treino,2403.440948789923,30.80334594397314,0.22922340297251664,0.6647955687493428
8.0,Validation,1516.1232693388415,30.28329785519127,0.347916224134945,0.5827552979210723
8.0,Teste,2430.273129899589,31.05583352031386,0.2374511525542298,0.6480704798583261
9.0,Treino,2961.363908911788,36.3041539073911,0.286139313068613,0.5869828608384235
9.0,Validation,1787.6168426606548,33.268152593715854,0.39209330151409916,0.5080389094796477
9.0,Teste,2847.1148645808457,35.3777659286487,0.2883007277564681,0.5877073421284287
10.0,Treino,2499.7211473720963,32.05459086349636,0.24684823710955645,0.651367508774461
10.0,Validation,1755.342578163338,33.50236175956286,0.4025009270796652,0.5169209483925337
10.0,Teste,2567.515934102096,31.353454397317527,0.24039182194881709,0.6281962551748308
11.0,Treino,2418.6517957738665,30.848036750072154,0.2234153390529609,0.6626741339312081
11.0,Validation,1320.0211356128152,25.91976445218581,0.28023734621050506,0.6367235853408937
11.0,Teste,2546.8710666793495,31.979312974523513,0.24426437681119195,0.6311858525974776
12.0,Treino,2200.984945028057,29.58940257156485,0.2175002463780351,0.6930318146319159
12.0,Validation,1431.6701912857757,28.06448942349729,0.31484448588994934,0.6059972071408064
12.0,Teste,2423.1786380695166,32.423719441373855,0.25434368139678143,0.6490978380900774
13.0,Treino,3094.6017340456833,37.30559879870103,0.2948973555987774,0.5684003741675661
13.0,Validation,1699.6598201708862,32.43286315300547,0.37437502020766183,0.5322451217228626
13.0,Teste,2970.2009722519697,36.15826558279792,0.2995981236491249,0.5698831583871573
14.0,Treino,2748.3949161094924,33.554151835632105,0.25928588150261483,0.6166853380897415
14.0,Validation,1752.3598959978713,32.487080658469964,0.37870792901627176,0.5177417974334357
14.0,Teste,2547.902716926241,32.360050457610335,0.25761574162779316,0.6310364586170745
15.0,Treino,2537.917580641413,31.58596251850399,0.23399404519198722,0.6460403074981862
15.0,Validation,1486.2275420816104,28.19915604508198,0.31181463535663523,0.5909827514963452
15.0,Teste,2389.014608775932,30.346289769823837,0.2262518756495068,0.6540451546231347
16.0,Treino,2497.305780078374,31.133814871000464,0.2246023590331432,0.6517043765557815
16.0,Validation,1364.1403393804724,27.01176224043717,0.29554230802363757,0.6245817599337662
16.0,Teste,2308.063090526554,29.730776961576485,0.21771856579314636,0.6657677995479958
17.0,Treino,2438.018763835306,30.80760710534075,0.2236962628173632,0.6599730509204718
17.0,Validation,1375.3198957955665,26.87320821038253,0.296749339612043,0.621505090127211
17.0,Teste,2601.6862101336174,32.35976293511906,0.2472159844571437,0.6232480340473647
18.0,Treino,2795.38619672273,34.01583984727978,0.2594587054592616,0.6101315321809129
18.0,Validation,1538.908759245056,30.042639640710394,0.33849306985702043,0.5764846172053897
18.0,Teste,2658.2223450709603,32.79354499693422,0.25547726431035905,0.6150609975392558
19.0,Treino,2399.866752800263,30.628317634770866,0.22168134738736162,0.6652940566920134
19.0,Validation,1378.0089454261172,27.96314270628417,0.31729470603030374,0.6207650502276427
19.0,Teste,2378.9043835167345,30.353404317191266,0.2254533746532914,0.6555092232828335
20.0,Treino,2592.1455798993134,31.40095748319624,0.2238897302742821,0.6384772069118133
20.0,Validation,1325.4393451244587,26.088771826502743,0.26860318649587517,0.6352324670003165
20.0,Teste,2496.2036912961835,31.535752358342354,0.23574907112526208,0.6385230300060811
21.0,Treino,2492.594953167556,31.22345870502615,0.22960981965620172,0.6523613887682747
21.0,Validation,1476.3443061331086,27.777732143442634,0.2957047343593028,0.5937026674308237
21.0,Teste,2659.4687679991143,32.78217983795545,0.2532883290297528,0.6148805021794537
22.0,Treino,2682.748346608052,32.370807529465374,0.23873995588264174,0.6258409701448441
22.0,Validation,1471.8813655606,28.436844102459034,0.3111852285278291,0.5949308909844299
22.0,Teste,2526.9745476648195,31.183785066351614,0.2357267535499642,0.6340670811734452
23.0,Treino,2669.2165644495403,33.91354588827037,0.2622311009814391,0.627728228221451
23.0,Validation,1615.1241837985267,30.235781098360665,0.3373403916860129,0.555509751404735
23.0,Teste,2696.9555730525008,33.71713764423587,0.26790654943384656,0.6094520122077822
24.0,Treino,2610.059541545321,32.86759710221134,0.24989671467245278,0.6359787726032777
24.0,Validation,1497.4800273440312,29.440204532786893,0.3359824553891435,0.5878860113064701
24.0,Teste,2454.2978795784807,31.43824077769601,0.24026871679478715,0.6445914393661303
25.0,Treino,2241.486059529377,29.778039967929935,0.21572800312039497,0.6873831827991812
25.0,Validation,1362.9881171877905,26.510190251366126,0.2864311677083471,0.624898857240586
25.0,Teste,2674.3854977454343,32.418909972565544,0.24287144482305115,0.6127204003056688
26.0,Treino,2808.4451476057784,35.93312862308319,0.28340605968444815,0.6083102191980886
26.0,Validation,1649.0698480181968,31.551366513524602,0.35020195293666617,0.5461677349337497
26.0,Teste,2868.9920254874582,36.3230467927898,0.3016149388385484,0.5845392954405059
27.0,Treino,2514.356265158221,32.22819507630185,0.24082562892889064,0.6493263700744425
27.0,Validation,1487.79545995825,28.6055043169399,0.30958880648750103,0.5905512526594412
27.0,Teste,2600.1712432828585,32.25037806185096,0.24953855933948219,0.6234674174369348
28.0,Treino,2534.2433992416945,33.043500069775725,0.2553174176951398,0.6465527402613145
28.0,Validation,1546.1837148754182,30.391436122950832,0.35407433484539674,0.5744825130519775
28.0,Teste,2667.5048770666162,33.63318048382696,0.26612877108211996,0.6137167877092004
29.0,Treino,2819.571444723602,33.97625542598128,0.25923012620227065,0.6067584506392714
29.0,Validation,1655.4708601338637,31.172009889344274,0.35736621721075623,0.5444061444039969
29.0,Teste,2683.615050038466,32.92110569178903,0.2553837648059036,0.6113838625027168
30.0,Treino,2312.89891117346,29.999506753421887,0.22156389049344025,0.6774233357176899
30.0,Validation,1410.0104202529608,26.82945737568307,0.2953729125807464,0.6119580843956128
30.0,Teste,2445.43125158146,30.455081149798584,0.2249221018597059,0.6458754218526565
31.0,Treino,2606.1438202889335,31.69960867863154,0.23600166244704496,0.6365248925806978
31.0,Validation,1513.4937849300545,30.220153890710392,0.34788031289532967,0.5834789451738738
31.0,Teste,2531.5224363769316,31.693130327846923,0.242234976215677,0.6334084982872585
32.0,Treino,2536.679720551068,31.61676306322741,0.23602218326302477,0.6462129500537526
32.0,Validation,1545.656542552506,28.667169081967227,0.31609795756291975,0.574627593510319
32.0,Teste,2529.7106148615653,31.188755340549545,0.23257995404470416,0.6336708694045788
33.0,Treino,3105.372997748958,36.91636181565876,0.2983486989734518,0.5668981216053282
33.0,Validation,2030.3295517322774,37.740687066939905,0.4762507410686562,0.44124315874130493
33.0,Teste,2760.5380584711365,34.95245358521946,0.2902363837934499,0.6002445888496841
34.0,Treino,3300.700410955144,37.79330093390146,0.3029809277566685,0.5396560899321945
34.0,Validation,1925.754751423321,36.68234705191258,0.4689955439758645,0.4700226665044841
34.0,Teste,2945.7030014009997,36.20302829902146,0.304384908272539,0.5734307263621128
35.0,Treino,2581.2610397534622,32.611223608282096,0.2469282513479871,0.6399952579755817
35.0,Validation,1551.4524564007065,30.009174259562855,0.3413550129059312,0.5730325290483625
35.0,Teste,2621.1353312213905,32.8173625209554,0.25815457861396973,0.6204315934722759
36.0,Treino,2312.4783312646828,30.061990312771297,0.2193017726545392,0.6774819933889706
36.0,Validation,1387.6631565637538,26.844215221994553,0.286903925038872,0.6181081630658971
36.0,Teste,2596.8776009527605,32.02407513328524,0.24280142222901988,0.6239443720435955
37.0,Treino,2334.1409268861858,31.431653760283076,0.2370564929519369,0.674460742524299
37.0,Validation,1378.363021853563,28.302670247267773,0.3246122269100534,0.6206676066249552
37.0,Teste,2595.7235872216243,32.391922893072994,0.25204934439338395,0.6241114855641456
38.0,Treino,2383.8522490313967,31.722086887073512,0.2389428542024167,0.6675275763590169
38.0,Validation,1431.422343327211,28.326223866120223,0.31110956140616575,0.6060654161378739
38.0,Teste,2766.1075395955363,33.58871532074736,0.2655908916462371,0.5994380684650271
39.0,Treino,2614.5210472852727,31.647206835128877,0.22587490670991076,0.6353565328537074
39.0,Validation,1293.2189435178427,25.523980006830616,0.27012128672350455,0.6440996825764476
39.0,Teste,2448.6232064750384,31.173665147521646,0.23247738475356072,0.6454131926734787
40.0,Treino,2531.4146926651433,32.80228692233876,0.24914470535401123,0.6469472558742924
40.0,Validation,1433.732769160139,29.03708099043717,0.32640056331519485,0.6054295753999661
40.0,Teste,2604.978721909437,32.49413068267376,0.2510192510449986,0.6227712431570451
41.0,Treino,2310.57549666004,30.272866343015817,0.2212776777881418,0.677747378977801
41.0,Validation,1408.1805382608284,28.545394592896187,0.3228844928437385,0.6124616770665305
41.0,Teste,2567.4407754306767,32.711227882245076,0.25713338776025235,0.6282071389536297
42.0,Treino,2503.990052466873,31.757867890606907,0.2391464907080121,0.6507721307581724
42.0,Validation,1616.9855736213665,30.977045606557397,0.3561926771474328,0.5549974876213144
42.0,Teste,2659.1496173636083,32.82128579282018,0.2587948432825847,0.6149267186020544
43.0,Treino,2423.3300609544763,31.146966849027343,0.22671293110298882,0.662021663056109
43.0,Validation,1421.4954197111488,27.599142497267778,0.30593960405260257,0.6087973551368382
43.0,Teste,2747.663365585899,33.80588345257245,0.26534877236584414,0.60210898196391
44.0,Treino,2806.2387292578805,35.63137875953088,0.28511038806104305,0.6086179451722925
44.0,Validation,1712.9149303744919,32.76879537090166,0.3882746579085501,0.5285972491390334
44.0,Teste,2816.98079932125,34.92492654056638,0.2818904777375927,0.592071076803455
45.0,Treino,2415.9098271518033,30.740723482138485,0.22344029387369857,0.6630565523271869
45.0,Validation,1244.6316045187257,25.955693808743188,0.28590212366810164,0.6574711611332902
45.0,Teste,2477.496287256195,30.95019679554384,0.2262948155342008,0.641232062026347
46.0,Treino,2493.0944928360127,32.29944248113509,0.2440774863880141,0.6522917186935693
46.0,Validation,1440.1547354395575,29.837733913934443,0.34822670138389394,0.6036622181796094
46.0,Teste,2602.018496140634,32.69638657660775,0.25708084943970017,0.6231999154825992
47.0,Treino,2576.6846137687135,32.824769560655454,0.2507898938224885,0.6406335254853995
47.0,Validation,1548.029204521996,29.73203608879783,0.3321245482150649,0.5739746250765414
47.0,Teste,2635.1444902883536,32.710212556462544,0.25282524635575654,0.6184029175315482
48.0,Treino,2662.4029779512125,35.03777054544303,0.2767661145664444,0.6286785092708354
48.0,Validation,1578.314740040241,30.969887505464484,0.35190589730889477,0.5656398943193772
48.0,Teste,2956.990731437732,35.71759688256283,0.2860891253761553,0.5717961424273104
49.0,Treino,2562.777388598061,31.70148822178162,0.23553797942460689,0.6425731460556285
49.0,Validation,1414.0867167782692,28.49546858060111,0.32076921568298156,0.6108362672164402
49.0,Teste,2455.5907617986595,31.018471767033436,0.23745356986656627,0.6444042162043591
50.0,Treino,2812.578213215145,34.26739744767738,0.2629896415164104,0.6077337865182646
50.0,Validation,1631.1498741843589,31.167136730874333,0.3578332969103211,0.5510994013059851
50.0,Teste,2679.1611471392307,33.14917778656807,0.2625344872316651,0.6120288352388266
51.0,Treino,2754.955472164674,35.100258812949306,0.2752816029183497,0.6157703468301174
51.0,Validation,1656.2951359583628,32.1011815532787,0.3774799022095195,0.5441792995769441
51.0,Teste,2722.4525473912627,34.26701737447872,0.2755657672345731,0.6057597778520183
52.0,Treino,2488.3688927125104,31.132207391173207,0.22738698002927088,0.652950791304658
52.0,Validation,1383.1563660224938,27.26950070491805,0.2906552556788854,0.619348454350088
52.0,Teste,2439.791601812203,30.53537345371844,0.22387942442210462,0.6466921034069407
53.0,Treino,2667.6716111676747,33.39274604739198,0.2609489387354311,0.6279437006200624
53.0,Validation,1754.919228488701,33.8892078565574,0.4130544936622592,0.5170374563391111
53.0,Teste,2583.2314414593816,32.20969327253849,0.25308753618832125,0.6259204817669006
54.0,Treino,2437.3820157179875,31.19007323314498,0.23395764778303713,0.6600618572589937
54.0,Validation,1535.802110403069,29.6619906885246,0.3409072996510802,0.5773395824953188
54.0,Teste,2520.1937274958423,31.620751274620616,0.24118696841169976,0.6350490163966412
55.0,Treino,2367.795687686068,31.38246613416712,0.23802160083911836,0.6697669617353508
55.0,Validation,1520.0294705835513,28.814406577868866,0.3180517574306048,0.5816802918133432
55.0,Teste,2663.2132683299014,32.48470019901275,0.24903302115917483,0.6143382585162327
56.0,Treino,2516.0323401829774,32.057495260333845,0.240123179059382,0.6490926103160887
56.0,Validation,1397.8343235880077,27.85055933333334,0.3019662047142797,0.6153090070601452
56.0,Teste,2583.279983375521,31.73621005218886,0.24502812296599638,0.625913452378704
57.0,Treino,2788.249463288146,35.74458857627134,0.28138214558633423,0.6111268820658898
57.0,Validation,1670.5912773431915,31.50446737254099,0.3542918801250055,0.5402449300084378
57.0,Teste,2907.1902988298534,36.40789469592202,0.3053104359480528,0.5790077772575332
58.0,Treino,2280.048210380193,30.269438791713824,0.21665676283752,0.682004975421023
58.0,Validation,1342.2711343098908,25.819980622950833,0.2791206607605191,0.630600274482624
58.0,Teste,2722.2597345609142,32.83267031808712,0.24558123503761242,0.6057876992103326
59.0,Treino,2628.51994940661,32.960193369904985,0.25109512615486507,0.6334041262318268
59.0,Validation,1600.368458316352,30.794032527322422,0.3507876862252928,0.5595706008140666
59.0,Teste,2686.03130016693,32.820756320864604,0.25680946872279736,0.6110339636630386
60.0,Treino,2840.885322428206,35.51009031524633,0.28136602738729694,0.6037858349578605
60.0,Validation,1845.7695732470374,33.73352721311476,0.39905784242284414,0.49203498734528683
60.0,Teste,2772.5839843643394,34.19871055332733,0.27526738409486856,0.5985002100524615
61.0,Treino,2665.025386475839,32.37978997475542,0.24059838584006948,0.6283127657486377
61.0,Validation,1558.0437748182437,30.068592617486352,0.3422202987836836,0.5712185652730872
61.0,Teste,2543.992644584844,31.41954526587422,0.23721703681752035,0.6316026788768045
62.0,Treino,2686.151581014737,33.305821784073586,0.2542862679286527,0.6253663259667627
62.0,Validation,1661.2325854855133,32.72269791393443,0.3899633210762346,0.5428204887871829
62.0,Teste,2784.9358030381045,34.60446037638108,0.27685064368296075,0.5967115347117129
63.0,Treino,3098.0532422583233,37.2056732869429,0.3000031574952264,0.5679189973116223
63.0,Validation,1982.2189122218567,35.55982784016395,0.4279782894424746,0.45448344721607126
63.0,Teste,3010.7284903592927,36.25562069298642,0.2976264267503439,0.5640143406709229
64.0,Treino,3358.5601910037703,39.06418856675515,0.31927030083103747,0.5315864701342738
64.0,Validation,2035.726305409432,37.50602981147543,0.4768680918344986,0.4397579451536263
64.0,Teste,3005.5454047861904,37.3279414709581,0.31497975184558663,0.5647649068505649
65.0,Treino,2282.857110314737,29.97320648997799,0.2202101681356793,0.6816132222117448
65.0,Validation,1346.817535141962,27.882513132513676,0.3159586856857029,0.6293490822484094
65.0,Teste,2540.0709130701052,32.755771855342125,0.2571858183564008,0.6321705875094296
