sample,tipo,MSE,MAE,MAPE,R2
0.0,Treino,113675.9343840678,217.1963333983405,0.24597937100461448,0.704478623495588
0.0,Validation,92412.06120420911,221.37975346994548,0.3559150943143019,0.5775285645930797
0.0,Teste,149111.20121313413,253.02864651314334,0.3102070718456699,0.6015755155529495
1.0,Treino,112413.94842510132,220.05005420317818,0.25542158243968793,0.7077593867437084
1.0,Validation,103096.44566077463,247.95358437158475,0.4099832863749741,0.5286837798432831
1.0,Teste,152246.35109954525,268.1532615087933,0.3582088410804236,0.5931984086220481
2.0,Treino,101382.67059979551,204.01737197754912,0.22881049768649003,0.7364372104642749
2.0,Validation,87429.35165706823,207.24732737704923,0.31611580446690396,0.6003075441674526
2.0,Teste,157535.4007436283,264.0919208879389,0.32430016461504724,0.5790660908584312
3.0,Treino,116555.17663856853,224.1497915018006,0.25854933157070675,0.6969935068000441
3.0,Validation,108238.11539969305,242.6308070286886,0.38939682443299206,0.5051780970711055
3.0,Teste,179577.5683886806,288.3419839228837,0.37145790980819127,0.5201695142858733
4.0,Treino,125817.94658402965,232.76119242108462,0.26981576798372514,0.6729132426759077
4.0,Validation,102819.19284245041,236.30957053825142,0.38282468299677225,0.5299512701968334
4.0,Teste,152301.91940936763,262.9994785237485,0.3302638504489487,0.5930499303386432
5.0,Treino,121789.0208397441,234.02748692405092,0.2731341543470775,0.6833871718169924
5.0,Validation,105179.7493321444,238.4496110382514,0.378659991086348,0.5191597384902047
5.0,Teste,181200.30119475332,294.6416908323774,0.3827770075954143,0.5158335792495061
6.0,Treino,108572.94740790589,211.24894922615312,0.23590397700209617,0.7177447711956311
6.0,Validation,116562.51079763236,244.80280506830613,0.3828749129250318,0.4671222499572657
6.0,Teste,158771.81342062342,263.5357026425025,0.3301102027816442,0.5757624015353773
7.0,Treino,223202.55591962408,337.7940034313905,0.4567257486410123,0.4197441444218728
7.0,Validation,164111.60436385387,354.44313721311494,0.7828824746290428,0.2497465789739136
7.0,Teste,226780.59773720073,355.7709214317883,0.5315125579637161,0.3940432241110574
8.0,Treino,116378.92240084431,222.25084771672093,0.25310862459370204,0.6974517119182094
8.0,Validation,90085.07514472095,217.60102218784164,0.33858493522598293,0.5881666255551814
8.0,Teste,150923.60359932613,269.60197942654924,0.333155148681621,0.5967327842191915
9.0,Treino,119070.95944139759,227.44751948950633,0.2648825392425494,0.6904532694058542
9.0,Validation,103609.14288783782,235.27663339480878,0.37320939300547135,0.526339930667926
9.0,Teste,174351.99223277986,283.5319364506223,0.37087376366214714,0.534132231163713
10.0,Treino,112699.2187234144,221.40925854658087,0.25530890458055483,0.707017774443004
10.0,Validation,98455.60447904708,225.97106916666678,0.36023051163624714,0.5498998723099089
10.0,Teste,176365.10532226923,276.85631220635827,0.35492163159233386,0.5287532016992065
11.0,Treino,104940.26137310662,209.66399238331394,0.23780753321812007,0.7271886027614678
11.0,Validation,96380.84539588481,227.48842513661214,0.36133517441785734,0.5593848511813377
11.0,Teste,161041.11505319615,262.21530481986537,0.3299412342650598,0.5696988373922631
12.0,Treino,110329.82955304031,211.78338091088057,0.2283850856643612,0.7131774348222877
12.0,Validation,86452.7174101394,205.6642600409837,0.31860191654150655,0.6047723301141248
12.0,Teste,170392.19739717635,276.16683029707195,0.3407730587552826,0.5447127858306715
13.0,Treino,110107.6088304819,216.8837748515177,0.24670946692877366,0.71375513822252
13.0,Validation,82687.09688110519,205.7497318571039,0.32050362239247626,0.6219872595223479
13.0,Teste,172809.8036138418,279.1957002214105,0.3355302034125248,0.5382529524805659
14.0,Treino,119628.2346440156,221.00381432305042,0.2448271955548225,0.6890045306216799
14.0,Validation,104256.55361853256,231.42611759562845,0.3599846730140904,0.5233802245740422
14.0,Teste,163933.72279391164,270.16880860144005,0.34099738212521724,0.5619698020251964
15.0,Treino,108094.48763556803,212.2113358077543,0.23853220559605295,0.718988614857787
15.0,Validation,86257.72741484498,210.34928042213122,0.33154009317277416,0.6056637473396316
15.0,Teste,137082.9724639026,244.47974265278384,0.299104188075269,0.6337148907255348
16.0,Treino,108081.27689904331,211.74771280633183,0.24262378490025455,0.7190229585828998
16.0,Validation,111565.11197028276,243.40194515983615,0.38654177378631027,0.4899683831175884
16.0,Teste,164298.3794100757,274.56008462031326,0.34428937654186903,0.5609954411246514
17.0,Treino,99932.85792887033,204.0142599891383,0.22920752627819435,0.740206263593302
17.0,Validation,94817.91560514779,219.67580237704922,0.33931903884515985,0.5665299487316868
17.0,Teste,172289.08016190512,280.0580516685517,0.3525432223352628,0.5396443232910042
18.0,Treino,105590.07442795481,210.15813405229972,0.23430638794728212,0.72549929491034
18.0,Validation,88739.4255030946,214.70030047814217,0.3386100579271198,0.5943184041027505
18.0,Teste,155724.19912565127,255.62542650882637,0.30827752453205143,0.5839056137447145
19.0,Treino,116681.44600168588,224.60703981212205,0.2591145868378832,0.6966652465029024
19.0,Validation,97850.797459853,229.63464871584708,0.3731816240219533,0.5526648110658844
19.0,Teste,163648.05610973077,270.5359574015152,0.33906994485592307,0.5627331021692665
20.0,Treino,104861.74732289235,207.8465693331108,0.23590228783316172,0.727392714390899
20.0,Validation,115433.39164605673,253.52262730874327,0.40950266630014504,0.47228413664711566
20.0,Teste,160184.66515953265,268.16735942635285,0.34273948388769093,0.5719872678023291
21.0,Treino,121989.0437410695,225.50709916306235,0.25289040755129455,0.6828671757118152
21.0,Validation,97990.82399386734,227.0685026680328,0.3636599826756995,0.5520246650714198
21.0,Teste,168015.89727816032,275.6792482396525,0.3418799863854448,0.5510622494665867
22.0,Treino,110377.38268305687,213.14600067566536,0.24064354220699072,0.713053811765959
22.0,Validation,92100.68205536915,226.39598592896186,0.3663953799517719,0.5789520670477593
22.0,Teste,156866.4629677338,268.5480107607685,0.34085692045645855,0.5808534897011712
23.0,Treino,115252.03099865893,228.50828680320362,0.26908100310390864,0.7003812721646171
23.0,Validation,116378.66233656797,255.55860916530062,0.4139441405654934,0.46796273248986064
23.0,Teste,178225.4214983652,282.3224435563072,0.3632452613067665,0.5237824449261448
24.0,Treino,117481.46307760096,225.68524915475098,0.2608544353964073,0.6945854558349615
24.0,Validation,102221.24625360953,236.71240976775965,0.3790967974347697,0.532684845775524
24.0,Teste,167124.99407001157,271.94605186231666,0.34174737872113353,0.5534427389838801
25.0,Treino,111078.01565695167,216.1710963872854,0.24463015435696622,0.711232388243103
25.0,Validation,98398.0482289347,223.64639147540996,0.361574103482916,0.5501629967471822
25.0,Teste,147712.58525869617,259.14856070660176,0.3313225277404467,0.6053126113314877
26.0,Treino,101779.72123210793,208.05709299627486,0.2406874459105672,0.735405004746867
26.0,Validation,93264.43586549936,229.005846748634,0.38020109135012714,0.5736318443818074
26.0,Teste,196563.06342118757,294.90639275681224,0.3946790656617401,0.47478434505414413
27.0,Treino,109067.83822201066,213.00214810428062,0.24308818253864428,0.7164582120360687
27.0,Validation,104963.19129298376,240.10747230874327,0.39158561946487885,0.5201497562915709
27.0,Teste,163211.7112101981,266.7730079113336,0.33876603229649577,0.563899013852782
28.0,Treino,127056.73013220342,244.59412996646574,0.29651474744610934,0.6696927983370868
28.0,Validation,108072.0332864869,255.67193299863396,0.45034414370530673,0.5059373588800871
28.0,Teste,201573.52484618398,308.0010331094006,0.4122828136577329,0.46139641380649365
29.0,Treino,112819.31851288809,216.52520620960559,0.2461367769866329,0.7067055530806245
29.0,Validation,97879.84440898779,231.18937746584714,0.3724441434604077,0.5525320198897624
29.0,Teste,157663.00532854337,270.29869157016,0.3540554956918249,0.5787251319596749
30.0,Treino,116659.39316608195,238.67200837255575,0.2931033705803525,0.696722576881305
30.0,Validation,125833.95578086865,269.5770225355192,0.45971865660054106,0.4247368662819829
30.0,Teste,223797.51601475646,329.65799789409573,0.43803751529545304,0.40201400556582856
31.0,Treino,108744.64466746198,215.42345469997153,0.2481398245635547,0.7172984127754344
31.0,Validation,119503.3372593017,255.39681044262304,0.414131524426328,0.4536779531809104
31.0,Teste,157977.29146432894,268.62694866237075,0.3431415914453898,0.5778853607647514
32.0,Treino,108090.06236585583,212.90012476725448,0.24301501317633867,0.7190001191555422
32.0,Validation,99108.67405191057,230.32824201502743,0.36684591625114227,0.5469142962252186
32.0,Teste,152533.6318531885,256.1264420634199,0.3028228017966281,0.5924307956913585
33.0,Treino,108302.65997029311,212.75444995324804,0.24109621387732116,0.7184474328104045
33.0,Validation,99814.55431296225,232.2974923360657,0.3644146111984388,0.543687290537585
33.0,Teste,163581.15698903427,274.9599131152958,0.35221783122320627,0.5629118563302995
34.0,Treino,109645.9587854156,216.67668113872608,0.24739503300956478,0.7149552819250594
